,listing_id,counteng,pos,neg,zero,wordcount,charcount,sentiment,count
49,54215,5,1.0,0.0,0.0,56.2,329.0,0.3372721611721612,4
50,54487,1,1.0,0.0,0.0,11.0,56.0,0.9,5
51,54944,7,0.7142857142857143,0.0,0.2857142857142857,50.285714285714285,286.2857142857143,0.22873315672422814,1
52,56927,4,1.0,0.0,0.0,22.75,144.5,0.5812660256410256,7
53,56937,9,0.8888888888888888,0.0,0.1111111111111111,88.0,490.77777777777777,0.3153824307500778,5
54,57156,16,0.8125,0.0625,0.125,86.625,456.4375,0.27822758626476907,10
55,57800,177,0.9717514124293786,0.011299435028248588,0.01694915254237288,61.03389830508475,326.3728813559322,0.3489638260180534,17
56,59776,2,0.5,0.0,0.5,14.5,79.5,0.265,193
57,60029,109,0.9724770642201835,0.01834862385321101,0.009174311926605505,78.10091743119266,423.9633027522936,0.4100236536546962,2
58,60356,4,1.0,0.0,0.0,67.75,378.75,0.42306018518518523,112
59,66288,379,0.9340369393139841,0.052770448548812667,0.013192612137203167,76.09234828496042,409.5514511873351,0.29132680258041294,5
60,67774,11,1.0,0.0,0.0,36.0,198.9090909090909,0.5423860965873953,404
61,67946,1,1.0,0.0,0.0,108.0,640.0,0.31208112874779537,11
62,68902,6,1.0,0.0,0.0,45.333333333333336,265.8333333333333,0.38881839225589226,1
63,69369,77,0.974025974025974,0.0,0.025974025974025976,73.12987012987013,402.76623376623377,0.4397587486334861,6
64,70481,6,1.0,0.0,0.0,55.333333333333336,313.5,0.4833334851642932,83
65,72811,117,0.9658119658119658,0.02564102564102564,0.008547008547008548,51.97435897435897,281.4957264957265,0.37402038233447515,6
66,76073,53,0.9433962264150944,0.0,0.05660377358490566,75.58490566037736,411.47169811320754,0.35249696707262335,123
67,77681,21,0.9523809523809523,0.0,0.047619047619047616,58.95238095238095,338.5238095238095,0.3411492232965447,54
68,77691,176,0.9772727272727273,0.011363636363636364,0.011363636363636364,62.25,337.32954545454544,0.3603166352873059,21
69,82637,16,0.8125,0.0625,0.125,43.25,241.8125,0.33095780204442893,194
70,91588,8,0.875,0.0,0.125,90.625,487.0,0.30762942930911685,16
71,93505,155,0.9935483870967742,0.0064516129032258064,0.0,76.48387096774194,412.6967741935484,0.3819504328467296,8
72,95453,12,0.9166666666666666,0.0,0.08333333333333333,60.916666666666664,359.0,0.36907264610389606,166
73,115936,6,1.0,0.0,0.0,139.83333333333334,761.5,0.18460347064751828,12
74,118905,17,0.9411764705882353,0.0,0.058823529411764705,63.76470588235294,358.2352941176471,0.30588316425719675,7
75,130552,2,1.0,0.0,0.0,88.0,489.5,0.22761868686868686,17
76,160572,2,1.0,0.0,0.0,61.0,343.0,0.5119444444444444,2
77,163941,126,0.9841269841269841,0.0,0.015873015873015872,64.34126984126983,352.14285714285717,0.36587096695110505,2
78,164418,36,1.0,0.0,0.0,70.02777777777777,374.5,0.3585888412736351,138
79,169430,96,0.9791666666666666,0.010416666666666666,0.010416666666666666,75.15625,402.5833333333333,0.39612379025513805,37
80,169938,1,0.0,0.0,1.0,14.0,87.0,0.0,105
81,176006,75,1.0,0.0,0.0,57.54666666666667,307.6533333333333,0.4320279097180539,1
82,177129,126,0.9761904761904762,0.007936507936507936,0.015873015873015872,89.9920634920635,490.2936507936508,0.3848305298739123,88
83,179244,75,0.9733333333333334,0.013333333333333334,0.013333333333333334,63.906666666666666,346.70666666666665,0.3529133402349133,131
84,179245,29,0.9655172413793104,0.0,0.034482758620689655,59.93103448275862,325.7241379310345,0.3870039511824732,81
85,180914,2,0.5,0.5,0.0,65.0,354.5,0.3269444444444444,33
86,182049,31,1.0,0.0,0.0,73.0,409.19354838709677,0.37053022666346175,2
87,182613,49,1.0,0.0,0.0,71.85714285714286,392.48979591836735,0.3505077965894647,33
88,189965,33,1.0,0.0,0.0,76.6969696969697,429.6363636363636,0.4221491920014648,50
89,195515,1,1.0,0.0,0.0,98.0,549.0,0.14545454545454548,33
90,196806,40,1.0,0.0,0.0,62.175,347.825,0.4340724313715385,1
91,197146,19,1.0,0.0,0.0,37.36842105263158,216.57894736842104,0.49113605148174533,41
92,197727,21,0.9523809523809523,0.0,0.047619047619047616,72.38095238095238,384.2857142857143,0.4215677241314997,20
93,197972,221,0.9909502262443439,0.00904977375565611,0.0,74.12217194570135,413.6289592760181,0.3746568849121101,22
94,200265,108,0.9907407407407407,0.0,0.009259259259259259,86.32407407407408,472.25,0.4191983761717913,230
95,205894,116,0.9827586206896551,0.0,0.017241379310344827,52.81896551724138,285.61206896551727,0.3767185017449026,118
96,210097,113,1.0,0.0,0.0,81.95575221238938,452.4159292035398,0.3778030914923376,125
97,213086,21,1.0,0.0,0.0,54.19047619047619,297.4761904761905,0.38629965140517486,115
98,217498,115,0.9826086956521739,0.008695652173913044,0.008695652173913044,80.88695652173914,448.3391304347826,0.35388152741167617,22
99,218259,5,0.8,0.2,0.0,89.2,492.6,0.37755291005291014,120
100,220676,151,1.0,0.0,0.0,55.64900662251656,304.0331125827815,0.45378624431911035,5
101,225224,178,0.9775280898876404,0.0056179775280898875,0.016853932584269662,75.11235955056179,405.4157303370786,0.37191086378773114,160
102,225834,35,1.0,0.0,0.0,95.14285714285714,516.1714285714286,0.3906315892380237,184
103,225979,68,0.9852941176470589,0.014705882352941176,0.0,96.02941176470588,519.2352941176471,0.37354038777738374,38
104,228883,4,1.0,0.0,0.0,54.5,299.5,0.29791433239962656,70
105,232990,54,0.9814814814814815,0.0,0.018518518518518517,87.94444444444444,478.64814814814815,0.3732941943176363,4
106,238846,11,0.9090909090909091,0.0,0.09090909090909091,82.72727272727273,454.90909090909093,0.35826877986482675,55
107,250345,22,0.9545454545454546,0.045454545454545456,0.0,68.0,370.1363636363636,0.40061794617113144,15
108,250983,13,0.8461538461538461,0.07692307692307693,0.07692307692307693,63.38461538461539,352.2307692307692,0.35082042276895226,22
109,257588,121,0.9917355371900827,0.0,0.008264462809917356,72.12396694214875,405.40495867768595,0.4039076253033147,13
110,276450,49,0.9795918367346939,0.0,0.02040816326530612,86.65306122448979,473.85714285714283,0.36888442154522155,132
111,295285,18,0.9444444444444444,0.0,0.05555555555555555,65.22222222222223,350.5,0.3042231645744717,54
112,311240,89,0.9550561797752809,0.033707865168539325,0.011235955056179775,71.5505617977528,397.3370786516854,0.39104091395212087,19
113,315982,67,0.9701492537313433,0.029850746268656716,0.0,54.74626865671642,301.05970149253733,0.38935914354154316,92
114,321328,11,1.0,0.0,0.0,54.27272727272727,286.3636363636364,0.4248132062742453,84
115,322593,184,0.9891304347826086,0.005434782608695652,0.005434782608695652,91.09782608695652,504.2119565217391,0.37684928005755547,11
116,332225,41,1.0,0.0,0.0,67.34146341463415,368.4390243902439,0.39388477385931375,192
117,336946,66,0.9696969696969697,0.030303030303030304,0.0,65.13636363636364,361.3333333333333,0.32443332385323687,41
118,336960,131,0.9770992366412213,0.0,0.022900763358778626,68.81679389312977,375.6106870229008,0.3597350572039411,68
119,349347,48,1.0,0.0,0.0,67.10416666666667,372.2291666666667,0.3727307158525596,145
120,369880,16,1.0,0.0,0.0,86.5625,486.625,0.4180459879085629,55
121,369940,18,1.0,0.0,0.0,93.0,518.7777777777778,0.34391024301976686,16
122,377474,18,0.9444444444444444,0.05555555555555555,0.0,58.611111111111114,309.5,0.37704999200534917,19
123,395975,12,1.0,0.0,0.0,53.25,286.75,0.37654811758457596,19
124,400067,20,1.0,0.0,0.0,76.6,425.05,0.383522628991379,13
125,414419,292,0.9828767123287672,0.00684931506849315,0.010273972602739725,69.1541095890411,379.4075342465753,0.39971193457600535,20
126,442735,40,1.0,0.0,0.0,77.775,434.45,0.452898419758471,312
127,447826,182,0.9945054945054945,0.005494505494505495,0.0,86.57142857142857,474.31868131868134,0.37094225105128303,40
128,453660,55,1.0,0.0,0.0,55.49090909090909,300.3272727272727,0.4732669899091251,198
129,466361,47,1.0,0.0,0.0,50.255319148936174,273.72340425531917,0.40738148843288075,55
130,472070,3,1.0,0.0,0.0,57.0,317.0,0.24498236331569664,48
131,475259,3,1.0,0.0,0.0,64.33333333333333,376.6666666666667,0.48425925925925933,3
132,496022,16,1.0,0.0,0.0,76.4375,404.3125,0.34084394654748273,3
133,497810,124,0.967741935483871,0.008064516129032258,0.024193548387096774,65.00806451612904,357.508064516129,0.3602337994636779,16
134,508017,151,0.9801324503311258,0.013245033112582781,0.006622516556291391,54.65562913907285,307.5165562913907,0.4258761971774943,135
135,519272,9,0.8888888888888888,0.0,0.1111111111111111,57.77777777777778,316.22222222222223,0.3541837468087468,156
136,526970,100,0.98,0.02,0.0,66.44,361.0,0.4085107439959802,9
